lamda,dark_ice,bright_ice,purple_ice,red_snow,lakes,flooded_snow,melted_snow,dry_snow
400.0,0.4272831,0.67391473,0.59287167,0.6628026,0.66700804,0.83842236,0.9681829,0.9761918
412.5,0.4194566,0.6747842,0.5908036,0.6699574,0.660566,0.8381837,0.9677537,0.97596925
442.5,0.4033688,0.67726576,0.5877266,0.69199544,0.6405709,0.83490044,0.96557075,0.9754657
490.0,0.38344347,0.6717783,0.57870805,0.7118975,0.5862943,0.8132697,0.95158017,0.9676185
510.0,0.36936635,0.6541918,0.5645937,0.7066083,0.5267091,0.7818335,0.9297227,0.94766355
560.0,0.33458108,0.6011019,0.5248098,0.6844902,0.41569117,0.6942537,0.8638148,0.8876831
620.0,0.31585625,0.5594939,0.5103158,0.69496375,0.29373586,0.6110739,0.83790886,0.87651235
665.0,0.32197103,0.55795985,0.53218627,0.7244741,0.2732724,0.59061843,0.8641237,0.91802126
673.75,0.32304388,0.55805725,0.5358639,0.7286892,0.27189767,0.58877796,0.86843395,0.92442954
681.25,0.3226345,0.5553081,0.5365074,0.72946,0.26922846,0.5837549,0.8684538,0.92672604
708.75,0.30860534,0.51680225,0.51923704,0.7072162,0.24349976,0.52771896,0.84184104,0.9162791
778.75,0.26654518,0.41690543,0.47556803,0.6617579,0.20131502,0.42344615,0.78065854,0.8957821
865.0,0.23113962,0.34828883,0.43252593,0.61372554,0.17930833,0.36449808,0.7253474,0.8706022
885.0,0.20753923,0.30652642,0.399448,0.5727737,0.16355124,0.32927927,0.68099207,0.84521526
900.0,0.15050179,0.22309855,0.2958552,0.4222717,0.124336995,0.23558253,0.53888226,0.7041401
1020.0,0.106614955,0.13256587,0.22599864,0.3490641,0.09124664,0.17887282,0.4423131,0.68468785
